Sample,Day_number,Date,Location,Strait,Monsoon period,Rain7,Rain1,Chl,Temperature,Salinity,NOx,NO2 ,NO3,Phosphate,Silicate ,NH4,DIN,BAC
SBW14,374,09-Jan-18,Sembawang,Johor,NE,55,48,81.89,31.51,21.52,27.924,3.847,24.355,0.206,11.651,22.188,50.112,3201750
STJ14,374,09-Jan-18,St.John,Singapore ,NE,49.6,28.4,12.13,27.3,31,1.865,0.571,1.293,0.136,9.335,0.125,1.99,838175
EC15,390,25-Jan-18,East Coast,Singapore ,NE,66,20.2,3.97,27.3,31.1,1.396,0.253,1.143,0.016,2.734,1.719,3.115,1004225
PR15,390,25-Jan-18,Pasir Ris,Johor,NE,31.4,0.2,42.45,29.05,27.35,1.335,1.323,0.3,0.075,2.042,0.376,1.711,4408683
RM15,390,25-Jan-18,Raffles,Raffles Mari,NE,48,43,,,,7.261,2.213,5.02,0.773,16.514,1.818,9.079,2686700
SBW15,390,25-Jan-18,Sembawang,Johor,NE,39.4,12,94.44,29.75,27.65,14.32,5.143,9.069,1.04,11.171,3.897,18.217,3411025
STJ15,390,25-Jan-18,St.John,Singapore ,NE,88.4,74,4.43,27.1,31,1.388,0.312,1.076,0.016,2.287,0.125,1.513,836700
PR16,396,31-Jan-18,Pasir Ris,Johor,NE,54.2,45,20.98,28.98,27.41,4.418,1.164,3.25,0.148,5.805,8.386,12.804,2775550
SBW16,396,31-Jan-18,Sembawang,Johor,NE,62,8.4,55.49,30.44,21.57,10.745,4.635,5.929,1.177,15.393,60.23,70.975,9433050
EC17,418,22-Feb-18,East Coast,Singapore ,IM-1,0,0,1.98,28.03,32.17,0.675,0.01,0.676,0.016,3.218,0.125,0.8,1199175
PR17,418,22-Feb-18,Pasir Ris,Johor,IM-1,0.5,0,2.2,29.35,30.45,1.704,0.176,1.555,0.559,5.441,4.505,6.209,1333400
RM17,418,22-Feb-18,Raffles,Raffles Mari,IM-1,0,0,,28.2,30,3.078,0.469,2.641,1.473,8.183,7.41,10.488,1129575
SBW17,418,22-Feb-18,Sembawang,Johor,IM-1,3,0,57.46,31.15,27.2,8.943,4.423,4.488,0.677,2.33,19.225,28.168,3957600
STJ17,418,22-Feb-18,St.John,Singapore ,IM-1,0,0,5.71,27.88,31.98,0.227,0.01,0.227,0.016,3.292,0.125,0.352,846600
EC18,450,26-Mar-18,East Coast,Singapore ,IM-1,35.8,1,2.64,29.04,32.27,1.06,0.088,0.972,0.087,2.227,0.493,1.553,1005450
PR18,450,26-Mar-18,Pasir Ris,Johor,IM-1,2.2,1.6,72.85,30.26,30.49,1.151,0.675,0.476,0.146,0.56,0.781,1.932,1452150
RM18,450,26-Mar-18,Raffles,Raffles Mari,IM-1,18.4,13.2,,28.6,30,2.784,0.315,2.469,0.611,1.892,2.752,5.536,1585325
SBW18,450,26-Mar-18,Sembawang,Johor,IM-1,3,2.4,75.64,31.38,27.42,6.529,2.703,3.826,1.724,1.689,48.615,55.144,5785750
STJ18,450,26-Mar-18,St.John,Singapore ,IM-1,16.4,0.4,2.02,29.09,32.39,0.866,0.085,0.78,0.101,1.803,0.544,1.41,783050
EC19,481,26-Apr-18,East Coast,Singapore ,IM-1,16,0,5.97,29.89,32.55,1.126,0.389,0.737,0.138,3.052,0.915,2.041,883250
PR19,481,26-Apr-18,Pasir Ris,Johor,IM-1,18.6,0,19.5,30.4,28.9,9.269,5.98,3.29,0.577,3.243,2.87,12.139,2776225
RM19,481,26-Apr-18,Raffles,Raffles Mari,IM-1,37.6,0,,28.3,30,6.151,0.688,5.464,1.611,10.597,15.758,21.909,1193600
SBW19,481,26-Apr-18,Sembawang,Johor,IM-1,57,0,63.34,30.35,27.16,25.83,11.746,14.084,0.027,3.59,8.6,34.43,3635900
STJ19,481,26-Apr-18,St.John,Singapore ,IM-1,69.2,0,10.69,29.87,32.49,1.169,0.237,0.932,0.155,2.595,11.1325,12.3015,786425
EC20,502,17-May-18,East Coast,Singapore ,IM-1,3.4,0.2,13,30.6,32.42,1.431,0.091,1.34,0.078,3.27,0.125,1.556,687125
PR20,502,17-May-18,Pasir Ris,Johor,IM-1,13.7,9.5,12.27,31.97,28.99,6.261,3.187,3.074,0.719,9.06,5.736,21.776,2221175
SBW20,502,17-May-18,Sembawang,Johor,IM-1,63.8,51,22.79,31.99,24.42,14.145,6.98,7.165,0.92,18.288,20.301,53.654,3023200
STJ20,502,17-May-18,St.John,Singapore ,IM-1,5.2,4.2,12.79,30.59,32.05,3.629,0.352,3.277,0.249,5.185,0.916,9.979,464650
RM21,537,21-Jun-18,Raffles,Raffles Mari,SW,128.4,42.8,,28.2,27,9.854,2.574,7.275,1.487,16.351,9.06,36.747,531750
EC21,544,28-Jun-18,East Coast,Singapore ,SW,18.4,3,2.31,29.4,31.1,4.565,0.879,3.693,0.267,8.644,0.125,13.608,372375
PR21,544,28-Jun-18,Pasir Ris,Johor,SW,50,4.2,2.94,30,29,9.513,3.346,6.129,0.984,9.624,7.072,27.155,1060000
SBW21,544,28-Jun-18,Sembawang,Johor,SW,63.4,37.8,7.49,32.1,27.3,8.277,4.067,4.134,3.459,23.418,32.528,67.606,1992425
STJ21,544,28-Jun-18,St.John,Singapore ,SW,32.4,6.6,2.18,29.4,30,5.323,1.002,4.334,0.325,9.558,0.279,15.498,388900
EC22,565,19-Jul-18,East Coast,Singapore ,SW,12.6,0,5.68,29.38,29.79,2.999,0.284,2.784,0.2,8.811,0.412,12.491,651025
PR22,565,19-Jul-18,Pasir Ris,Johor,SW,18.8,0,9.19,29.72,28.61,8.443,3.811,4.557,1.201,12.188,8.234,29.991,1182425
RM22,565,19-Jul-18,Raffles,Raffles Mari,SW,28.4,0,,29.1,26,7.201,1.491,5.721,1.491,12.411,7.921,29.035,1115900
SBW22,565,19-Jul-18,Sembawang,Johor,SW,7.2,0,33.32,30.97,25.94,7.572,5.564,1.854,2.826,3.783,39.212,53.239,4794975
STJ22,565,19-Jul-18,St.John,Singapore ,SW,18.2,0,8.93,29.44,30.06,3.843,0.539,3.353,0.236,8.41,0.125,12.663,453325
